scenario,method,runs,recoveries,recovery_percent,ci95_lower_percent,ci95_upper_percent,mean_executions
PAIR-002,SCIF V3,100,100,100.0000,96.3007,100.0000,7900
PAIR-002,Deletion,100,2,2.0000,0.5502,7.0012,9570
PAIR-002,Exhaustive,100,100,100.0000,96.3007,100.0000,37000
PAIR-002,SCIF V4,100,100,100.0000,96.3007,100.0000,10900
OVERLAP,SCIF V3,100,100,100.0000,96.3007,100.0000,10100
OVERLAP,Deletion,100,0,0.0000,0.0000,3.6993,9000
OVERLAP,Exhaustive,100,100,100.0000,96.3007,100.0000,37000
OVERLAP,SCIF V4,100,100,100.0000,96.3007,100.0000,13100
TRIPLE,SCIF V3,100,0,0.0000,0.0000,3.6993,3700
TRIPLE,Deletion,100,100,100.0000,96.3007,100.0000,13000
TRIPLE,Exhaustive,100,100,100.0000,96.3007,100.0000,93000
TRIPLE,SCIF V4,100,100,100.0000,96.3007,100.0000,17700
MIXED,SCIF V3,100,0,0.0000,0.0000,3.6993,7800
MIXED,Deletion,100,0,0.0000,0.0000,3.6993,9000
MIXED,Exhaustive,100,100,100.0000,96.3007,100.0000,93000
MIXED,SCIF V4,100,100,100.0000,96.3007,100.0000,22800
